denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
wavelet,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.1,20.17493353597107,0.06506691140621562,0.47916666666666663,144
wavelet,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.2,19.48530203669137,-0.6245645878734858,0.9097222222222222,144
wavelet,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.5,19.686913864915155,-0.42295275964970264,0.875,144
wavelet,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.02,21.353126521152845,1.243259896587993,0.0,144
wavelet,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.05,20.617392246772734,0.5075256222078799,0.18055555555555558,144
wavelet,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.1,19.783641798332084,-0.32622482623276816,0.7986111111111112,144
wavelet,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.2,19.267819094823803,-0.8420475297410519,0.9930555555555556,144
wavelet,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.5,15.164434459850822,-4.945432164714034,1.0,144
wavelet,blur,red_gd,fixed20p0,0.8,1.0,15.0,0.02,21.81728572494353,1.7074191003786752,0.0,144
wavelet,blur,red_gd,fixed20p0,0.8,1.0,15.0,0.05,21.175840551352376,1.065973926787522,0.0,144
wavelet,blur,red_gd,fixed20p0,0.8,1.0,15.0,0.1,20.51940491454422,0.4095382899793677,0.2222222222222222,144
wavelet,blur,red_gd,fixed20p0,0.8,1.0,15.0,0.2,19.777782716278494,-0.3320839082863608,0.7986111111111112,144
wavelet,blur,red_gd,fixed20p0,0.8,1.0,15.0,0.5,19.172354719612176,-0.9375119049526796,0.9930555555555556,144
wavelet,blur,red_gd,fixed20p0,0.8,2.0,15.0,0.02,21.487678897220846,1.377812272655993,0.0,144
wavelet,blur,red_gd,fixed20p0,0.8,2.0,15.0,0.05,20.69425570261755,0.5843890780526935,0.1527777777777778,144
wavelet,blur,red_gd,fixed20p0,0.8,2.0,15.0,0.1,19.924541872523857,-0.18532475204099869,0.6805555555555556,144
wavelet,blur,red_gd,fixed20p0,0.8,2.0,15.0,0.2,19.34985709421923,-0.7600095303456244,0.9583333333333334,144
wavelet,blur,red_gd,fixed20p0,0.8,2.0,15.0,0.5,18.893837661371812,-1.2160289631930448,1.0,144
wavelet,blur,red_gd,fixed20p0,0.8,4.0,15.0,0.02,21.192091091878694,1.0822244673138401,0.00694444444444442,144
wavelet,blur,red_gd,fixed20p0,0.8,4.0,15.0,0.05,20.181389389265796,0.07152276470094142,0.4722222222222222,144
wavelet,blur,red_gd,fixed20p0,0.8,4.0,15.0,0.1,19.522428173122343,-0.5874384514425123,0.9236111111111112,144
wavelet,blur,red_gd,fixed20p0,0.8,4.0,15.0,0.2,19.168911392690553,-0.9409552318743031,0.9930555555555556,144
wavelet,blur,red_gd,fixed20p0,0.8,4.0,15.0,0.5,18.985270352556743,-1.1245962720081117,0.9791666666666666,144
wavelet,blur,red_gd,fixed20p0,0.8,8.0,15.0,0.02,20.897498369192075,0.7876317446272212,0.14583333333333337,144
wavelet,blur,red_gd,fixed20p0,0.8,8.0,15.0,0.05,19.847408271354528,-0.26245835321032573,0.7638888888888888,144
wavelet,blur,red_gd,fixed20p0,0.8,8.0,15.0,0.1,19.34659865912169,-0.7632679654431634,0.9861111111111112,144
wavelet,blur,red_gd,fixed20p0,0.8,8.0,15.0,0.2,18.961463752388926,-1.1484028721759272,0.9930555555555556,144
wavelet,blur,red_gd,fixed20p0,0.8,8.0,15.0,0.5,13.585733210264777,-6.524133414300078,1.0,144
wavelet,blur,red_gd,fixed25p0,0.8,1.0,15.0,0.02,21.732305209994017,1.6224385854291634,0.0,144
wavelet,blur,red_gd,fixed25p0,0.8,1.0,15.0,0.05,20.767886685371963,0.6580200608071091,0.13888888888888884,144
wavelet,blur,red_gd,fixed25p0,0.8,1.0,15.0,0.1,19.93069613140903,-0.1791704931558269,0.6875,144
wavelet,blur,red_gd,fixed25p0,0.8,1.0,15.0,0.2,19.349014491626313,-0.7608521329385405,0.9722222222222222,144
wavelet,blur,red_gd,fixed25p0,0.8,1.0,15.0,0.5,18.965353472141533,-1.144513152423321,1.0,144
wavelet,blur,red_gd,fixed25p0,0.8,2.0,15.0,0.02,21.22353201540249,1.1136653908376362,0.0,144
wavelet,blur,red_gd,fixed25p0,0.8,2.0,15.0,0.05,20.092194641814245,-0.01767198275060844,0.5555555555555556,144
wavelet,blur,red_gd,fixed25p0,0.8,2.0,15.0,0.1,19.463978648761227,-0.6458879758036258,0.9444444444444444,144
wavelet,blur,red_gd,fixed25p0,0.8,2.0,15.0,0.2,19.166988787768368,-0.942877836796487,0.9930555555555556,144
wavelet,blur,red_gd,fixed25p0,0.8,2.0,15.0,0.5,18.426296545114592,-1.683570079450265,1.0,144
wavelet,blur,red_gd,fixed25p0,0.8,4.0,15.0,0.02,20.643434636893563,0.533568012328709,0.24305555555555558,144
wavelet,blur,red_gd,fixed25p0,0.8,4.0,15.0,0.05,19.679703679610192,-0.4301629449546642,0.8888888888888888,144
wavelet,blur,red_gd,fixed25p0,0.8,4.0,15.0,0.1,19.299501639888078,-0.8103649846767769,0.9930555555555556,144
wavelet,blur,red_gd,fixed25p0,0.8,4.0,15.0,0.2,18.89990840516808,-1.209958219396774,0.9930555555555556,144
wavelet,blur,red_gd,fixed25p0,0.8,4.0,15.0,0.5,18.07001894923873,-2.0398476753261274,0.9930555555555556,144
wavelet,blur,red_gd,fixed25p0,0.8,8.0,15.0,0.02,20.274141338074788,0.16427471350993333,0.45138888888888884,144
wavelet,blur,red_gd,fixed25p0,0.8,8.0,15.0,0.05,19.494260892288942,-0.6156057322759138,0.9722222222222222,144
wavelet,blur,red_gd,fixed25p0,0.8,8.0,15.0,0.1,19.160796955398855,-0.9490696691659982,0.9930555555555556,144
wavelet,blur,red_gd,fixed25p0,0.8,8.0,15.0,0.2,18.441294895273,-1.6685717292918552,1.0,144
wavelet,blur,red_gd,fixed25p0,0.8,8.0,15.0,0.5,12.07528180441549,-8.034584820149368,1.0,144
wavelet,inpaint,pnp_hqs,fixed10p0,0.1,0.5,0.0,0.15,23.040927891283538,14.865449813695712,0.0,144
wavelet,inpaint,pnp_hqs,fixed10p0,0.2,0.5,0.0,0.15,22.938215923100575,14.762737845512751,0.0,144
