dataset,input_pose,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,inpaint,pnp_hqs,tv,15.0,linear10p0_to_2p0,0.4,0.5,0.0,0.15,vanilla,0,20,29.20320002559676,15.447961538512782,0.0013313599228110193,0.03454611518060997,0.0,13.755238487083977,10,28.7570452051338,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,tv,15.0,linear10p0_to_2p0,0.8,0.5,0.0,0.15,vanilla,0,20,28.612684791152713,15.447961538512782,0.0015157796692965445,0.03454611518060997,0.0,13.164723252639927,10,28.19363922294272,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,tv,15.0,linear15p0_to_3p0,0.4,0.5,0.0,0.15,vanilla,0,20,29.20320002559676,15.447961538512782,0.0013313599228110193,0.03454611518060997,0.0,13.755238487083977,10,28.7570452051338,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,tv,15.0,linear15p0_to_3p0,0.8,0.5,0.0,0.15,vanilla,0,20,28.612684791152713,15.447961538512782,0.0015157796692965445,0.03454611518060997,0.0,13.164723252639927,10,28.19363922294272,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,23.247205419240025,15.447961538512782,0.013695125903473191,0.03454611518060997,0.0,7.799243880727242,10,18.634339707899162,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,wavelet,15.0,fixed10p0,0.8,0.5,0.0,0.15,vanilla,0,20,23.1252405247435,15.447961538512782,0.013561834319213668,0.03454611518060997,0.0,7.677278986230716,10,18.67681565569596,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,26.9940181738201,15.447961538512782,0.0023162207949043463,0.03454611518060997,0.0,11.546056635307313,10,26.352200436328296,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,26.741850375977616,15.447961538512782,0.002386696931229967,0.03454611518060997,0.0,11.293888837464834,10,26.22202725296093,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,0,20,15.837458801744106,15.447961538512782,0.03245418967674881,0.03454611518060997,0.0,0.38949726323132233,10,14.887292299563642,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,wavelet,15.0,fixed3p0,0.8,0.5,0.0,0.15,vanilla,0,20,15.838062835607335,15.447961538512782,0.032451679170378875,0.03454611518060997,0.0,0.3901012970945505,10,14.887628262730965,14.616007833254907
